Label,Id,category
Charles Bickford,Charles Bickford,ACTOR IN A SUPPORTING ROLE
Charles Bickford,Charles Bickford,ACTOR IN A SUPPORTING ROLE
Charles Bickford,Charles Bickford,ACTOR IN A SUPPORTING ROLE
Charles Boyer,Charles Boyer,ACTOR
Charles Boyer,Charles Boyer,ACTOR
Charles Boyer,Charles Boyer,ACTOR
Charles Boyer,Charles Boyer,ACTOR
Charles Chaplin,Charles Chaplin,ACTOR
Charles Coburn,Charles Coburn,ACTOR IN A SUPPORTING ROLE
Charles Coburn,Charles Coburn,ACTOR IN A SUPPORTING ROLE
Charles Coburn,Charles Coburn,ACTOR IN A SUPPORTING ROLE
Charles Crichton,Charles Crichton,DIRECTING
Charles Durning,Charles Durning,ACTOR IN A SUPPORTING ROLE
Charles Durning,Charles Durning,ACTOR IN A SUPPORTING ROLE
Charles Laughton,Charles Laughton,ACTOR
Charles Laughton,Charles Laughton,ACTOR
Charles Laughton,Charles Laughton,ACTOR
Charles Walters,Charles Walters,DIRECTING
Charlize Theron,Charlize Theron,ACTRESS
Charlize Theron,Charlize Theron,ACTRESS
Charlize Theron,Charlize Theron,ACTRESS
Charlotte Rampling,Charlotte Rampling,ACTRESS
Charlton Heston,Charlton Heston,ACTOR
Chazz Palminteri,Chazz Palminteri,ACTOR IN A SUPPORTING ROLE
Cher,Cher,ACTRESS
Cher,Cher,ACTRESS IN A SUPPORTING ROLE
Chester Morris,Chester Morris,ACTOR
Chief Dan George,Chief Dan George,ACTOR IN A SUPPORTING ROLE
Chill Wills,Chill Wills,ACTOR IN A SUPPORTING ROLE
Chiwetel Ejiofor,Chiwetel Ejiofor,ACTOR
Chloë Sevigny,Chloë Sevigny,ACTRESS IN A SUPPORTING ROLE
Chris Cooper,Chris Cooper,ACTOR IN A SUPPORTING ROLE
Chris Noonan,Chris Noonan,DIRECTING
Chris Sarandon,Chris Sarandon,ACTOR IN A SUPPORTING ROLE
Christian Bale,Christian Bale,ACTOR IN A SUPPORTING ROLE
Christian Bale,Christian Bale,ACTOR
Christian Bale,Christian Bale,ACTOR
Christian Bale,Christian Bale,ACTOR IN A SUPPORTING ROLE
Christine Lahti,Christine Lahti,ACTRESS IN A SUPPORTING ROLE
Christoph Waltz,Christoph Waltz,ACTOR IN A SUPPORTING ROLE
Christoph Waltz,Christoph Waltz,ACTOR IN A SUPPORTING ROLE
Christopher Nolan,Christopher Nolan,DIRECTING
Christopher Plummer,Christopher Plummer,ACTOR IN A SUPPORTING ROLE
Christopher Plummer,Christopher Plummer,ACTOR IN A SUPPORTING ROLE
Christopher Plummer,Christopher Plummer,ACTOR IN A SUPPORTING ROLE
Christopher Walken,Christopher Walken,ACTOR IN A SUPPORTING ROLE
Christopher Walken,Christopher Walken,ACTOR IN A SUPPORTING ROLE
Cicely Tyson,Cicely Tyson,ACTRESS
Claire Trevor,Claire Trevor,ACTRESS IN A SUPPORTING ROLE
Claire Trevor,Claire Trevor,ACTRESS IN A SUPPORTING ROLE
Claire Trevor,Claire Trevor,ACTRESS IN A SUPPORTING ROLE
Clarence Brown,Clarence Brown,DIRECTING
Clarence Brown,Clarence Brown,DIRECTING
Clarence Brown,Clarence Brown,DIRECTING
Clarence Brown,Clarence Brown,DIRECTING
Clarence Brown,Clarence Brown,DIRECTING
Clark Gable,Clark Gable,ACTOR
Clark Gable,Clark Gable,ACTOR
Clark Gable,Clark Gable,ACTOR
Claude Lelouch,Claude Lelouch,DIRECTING
Claude Rains,Claude Rains,ACTOR IN A SUPPORTING ROLE
Claude Rains,Claude Rains,ACTOR IN A SUPPORTING ROLE
Claude Rains,Claude Rains,ACTOR IN A SUPPORTING ROLE
Claude Rains,Claude Rains,ACTOR IN A SUPPORTING ROLE
Claudette Colbert,Claudette Colbert,ACTRESS
Claudette Colbert,Claudette Colbert,ACTRESS
Claudette Colbert,Claudette Colbert,ACTRESS
Cliff Robertson,Cliff Robertson,ACTOR
Clifton Webb,Clifton Webb,ACTOR
Clifton Webb,Clifton Webb,ACTOR IN A SUPPORTING ROLE
Clifton Webb,Clifton Webb,ACTOR IN A SUPPORTING ROLE
Clint Eastwood,Clint Eastwood,ACTOR
Clint Eastwood,Clint Eastwood,DIRECTING
Clint Eastwood,Clint Eastwood,DIRECTING
Clint Eastwood,Clint Eastwood,DIRECTING
Clint Eastwood,Clint Eastwood,DIRECTING
Clint Eastwood,Clint Eastwood,ACTOR
Clive Owen,Clive Owen,ACTOR IN A SUPPORTING ROLE
Cloris Leachman,Cloris Leachman,ACTRESS IN A SUPPORTING ROLE
Colette Marchand,Colette Marchand,ACTRESS IN A SUPPORTING ROLE
Colin Firth,Colin Firth,ACTOR
Colin Firth,Colin Firth,ACTOR
Corinne Griffith,Corinne Griffith,ACTRESS
Cornel Wilde,Cornel Wilde,ACTOR
Costa-Gavras,Costa-Gavras,DIRECTING
Cuba Gooding,Cuba Gooding,ACTOR IN A SUPPORTING ROLE
Curtis Hanson,Curtis Hanson,DIRECTING
Cynthia Erivo,Cynthia Erivo,ACTRESS
Dame Edith Evans,Dame Edith Evans,ACTRESS
Dame Edith Evans,Dame Edith Evans,ACTRESS IN A SUPPORTING ROLE
Dame Edith Evans,Dame Edith Evans,ACTRESS IN A SUPPORTING ROLE
Dame May Whitty,Dame May Whitty,ACTRESS IN A SUPPORTING ROLE
Dame May Whitty,Dame May Whitty,ACTRESS IN A SUPPORTING ROLE
Damien Chazelle,Damien Chazelle,DIRECTING
Dan Aykroyd,Dan Aykroyd,ACTOR IN A SUPPORTING ROLE
Dan Dailey,Dan Dailey,ACTOR
Dan O'Herlihy,Dan O'Herlihy,ACTOR
Daniel Day Lewis,Daniel Day Lewis,ACTOR
Daniel Day-Lewis,Daniel Day-Lewis,ACTOR
Daniel Day-Lewis,Daniel Day-Lewis,ACTOR
Daniel Day-Lewis,Daniel Day-Lewis,ACTOR
Daniel Day-Lewis,Daniel Day-Lewis,ACTOR
Daniel Day-Lewis,Daniel Day-Lewis,ACTOR
Daniel Kaluuya,Daniel Kaluuya,ACTOR
Daniel Massey,Daniel Massey,ACTOR IN A SUPPORTING ROLE
Danny Aiello,Danny Aiello,ACTOR IN A SUPPORTING ROLE
Danny Boyle,Danny Boyle,DIRECTING
Darren Aronofsky,Darren Aronofsky,DIRECTING
David Fincher,David Fincher,DIRECTING
David Fincher,David Fincher,DIRECTING
David Lean,David Lean,DIRECTING
David Lean,David Lean,DIRECTING
David Lean,David Lean,DIRECTING
David Lean,David Lean,DIRECTING
David Lean,David Lean,DIRECTING
David Lean,David Lean,DIRECTING
David Lean,David Lean,DIRECTING
David Lynch,David Lynch,DIRECTING
David Lynch,David Lynch,DIRECTING
David Lynch,David Lynch,DIRECTING
David Niven,David Niven,ACTOR
David O. Russell,David O. Russell,DIRECTING
David O. Russell,David O. Russell,DIRECTING
David O. Russell,David O. Russell,DIRECTING
David Paymer,David Paymer,ACTOR IN A SUPPORTING ROLE
David Strathairn,David Strathairn,ACTOR
Dean Jagger,Dean Jagger,ACTOR IN A SUPPORTING ROLE
Dean Stockwell,Dean Stockwell,ACTOR IN A SUPPORTING ROLE
Debbie Reynolds,Debbie Reynolds,ACTRESS
Deborah Kerr,Deborah Kerr,ACTRESS
Deborah Kerr,Deborah Kerr,ACTRESS
Deborah Kerr,Deborah Kerr,ACTRESS
Deborah Kerr,Deborah Kerr,ACTRESS
Deborah Kerr,Deborah Kerr,ACTRESS
Deborah Kerr,Deborah Kerr,ACTRESS
Debra Winger,Debra Winger,ACTRESS
Debra Winger,Debra Winger,ACTRESS
Debra Winger,Debra Winger,ACTRESS
Delbert Mann,Delbert Mann,DIRECTING
Demián Bichir,Demián Bichir,ACTOR
Denholm Elliott,Denholm Elliott,ACTOR IN A SUPPORTING ROLE
Denis Villeneuve,Denis Villeneuve,DIRECTING
Dennis Hopper,Dennis Hopper,ACTOR IN A SUPPORTING ROLE
Denzel Washington,Denzel Washington,ACTOR
Denzel Washington,Denzel Washington,ACTOR
Denzel Washington,Denzel Washington,ACTOR IN A SUPPORTING ROLE
Denzel Washington,Denzel Washington,ACTOR
Denzel Washington,Denzel Washington,ACTOR
Denzel Washington,Denzel Washington,ACTOR
Denzel Washington,Denzel Washington,ACTOR
Denzel Washington,Denzel Washington,ACTOR IN A SUPPORTING ROLE
Dev Patel,Dev Patel,ACTOR IN A SUPPORTING ROLE
Dexter Gordon,Dexter Gordon,ACTOR
Diahann Carroll,Diahann Carroll,ACTRESS
Diana Ross,Diana Ross,ACTRESS
Diana Scarwid,Diana Scarwid,ACTRESS IN A SUPPORTING ROLE
Diana Wynyard,Diana Wynyard,ACTRESS
Diane Cilento,Diane Cilento,ACTRESS IN A SUPPORTING ROLE
Diane Keaton,Diane Keaton,ACTRESS
Diane Keaton,Diane Keaton,ACTRESS
Diane Keaton,Diane Keaton,ACTRESS
Diane Keaton,Diane Keaton,ACTRESS
Diane Ladd,Diane Ladd,ACTRESS IN A SUPPORTING ROLE
Diane Ladd,Diane Ladd,ACTRESS IN A SUPPORTING ROLE
Diane Ladd,Diane Ladd,ACTRESS IN A SUPPORTING ROLE
Diane Lane,Diane Lane,ACTRESS
Diane Varsi,Diane Varsi,ACTRESS IN A SUPPORTING ROLE
Dianne Wiest,Dianne Wiest,ACTRESS IN A SUPPORTING ROLE
Dianne Wiest,Dianne Wiest,ACTRESS IN A SUPPORTING ROLE
Dianne Wiest,Dianne Wiest,ACTRESS IN A SUPPORTING ROLE
