Label,Id,category
20th Century-Fox,20th Century-Fox,SHORT SUBJECT (Cartoon)
20th Century-Fox,20th Century-Fox,OUTSTANDING MOTION PICTURE
20th Century-Fox,20th Century-Fox,OUTSTANDING PRODUCTION
20th Century-Fox,20th Century-Fox,BEST MOTION PICTURE
20th Century-Fox,20th Century-Fox,BEST MOTION PICTURE
20th Century-Fox,20th Century-Fox,BEST MOTION PICTURE
20th Century-Fox,20th Century-Fox,BEST MOTION PICTURE
20th Century-Fox,20th Century-Fox,BEST MOTION PICTURE
20th Century-Fox,20th Century-Fox,OUTSTANDING PRODUCTION
20th Century-Fox Studio,20th Century-Fox Studio,SPECIAL EFFECTS
20th Century-Fox Studio,20th Century-Fox Studio,SPECIAL EFFECTS
"20th Century-Fox Studio Music Department, Louis Silvers, head of department  (no composer credit)","20th Century-Fox Studio Music Department, Louis Silvers, head of department  (no composer credit)",MUSIC (Scoring)
20th Century-Fox Studio Sound Department,20th Century-Fox Studio Sound Department,SOUND
20th Century-Fox Studio Sound Department,20th Century-Fox Studio Sound Department,SOUND
"20th Century-Fox Studio Sound Department, Carl Faulkner,","20th Century-Fox Studio Sound Department, Carl Faulkner,",SOUND
"20th Century-Fox Studio Sound Department, Carl Faulkner,","20th Century-Fox Studio Sound Department, Carl Faulkner,",SOUND
"20th Century-Fox Studio Sound Department, Carl Faulkner,","20th Century-Fox Studio Sound Department, Carl Faulkner,",SOUND RECORDING
"20th Century-Fox Studio Sound Department, Carl W. Faulkner,","20th Century-Fox Studio Sound Department, Carl W. Faulkner,",SOUND RECORDING
"20th Century-Fox Studio Sound Department, E. H. Hansen,","20th Century-Fox Studio Sound Department, E. H. Hansen,",SOUND RECORDING
"20th Century-Fox Studio Sound Department, E. H. Hansen,","20th Century-Fox Studio Sound Department, E. H. Hansen,",SOUND RECORDING
"20th Century-Fox Studio Sound Department, E. H. Hansen,","20th Century-Fox Studio Sound Department, E. H. Hansen,",SOUND RECORDING
"20th Century-Fox Studio Sound Department, E. H. Hansen,","20th Century-Fox Studio Sound Department, E. H. Hansen,",SOUND RECORDING
"20th Century-Fox Studio Sound Department, E. H. Hansen,","20th Century-Fox Studio Sound Department, E. H. Hansen,",SOUND RECORDING
"20th Century-Fox Studio Sound Department, E. H. Hansen,","20th Century-Fox Studio Sound Department, E. H. Hansen,",SOUND RECORDING
"20th Century-Fox Studio Sound Department, E. H. Hansen,","20th Century-Fox Studio Sound Department, E. H. Hansen,",SOUND RECORDING
"20th Century-Fox Studio Sound Department, E. H. Hansen,","20th Century-Fox Studio Sound Department, E. H. Hansen,",SOUND RECORDING
"20th Century-Fox Studio Sound Department, E. H. Hansen,","20th Century-Fox Studio Sound Department, E. H. Hansen,",SOUND RECORDING
"20th Century-Fox Studio Sound Department, Edmund H. Hansen,","20th Century-Fox Studio Sound Department, Edmund H. Hansen,",SOUND RECORDING
"20th Century-Fox Studio Sound Department, James P. Corcoran,","20th Century-Fox Studio Sound Department, James P. Corcoran,",SOUND
"20th Century-Fox Studio Sound Department, James P. Corcoran,","20th Century-Fox Studio Sound Department, James P. Corcoran,",SOUND
