Label,Id,race_ethnicity,sexual_orientation
Luise Rainer,Luise Rainer,White,Straight
Luise Rainer,Luise Rainer,White,Straight
Luise Rainer,Luise Rainer,White,Straight
Maggie Smith,Maggie Smith,White,Straight
Maggie Smith,Maggie Smith,White,Straight
Maggie Smith,Maggie Smith,White,Straight
Maggie Smith,Maggie Smith,White,Straight
Maggie Smith,Maggie Smith,White,Straight
Maggie Smith,Maggie Smith,White,Straight
Maggie Smith,Maggie Smith,White,Straight
Maggie Smith,Maggie Smith,White,Straight
Maggie Smith,Maggie Smith,White,Straight
Marcia Gay Harden,Marcia Gay Harden,White,Straight
Marcia Gay Harden,Marcia Gay Harden,White,Straight
Marcia Gay Harden,Marcia Gay Harden,White,Straight
Marcia Gay Harden,Marcia Gay Harden,White,Straight
Margaret Rutherford,Margaret Rutherford,White,Straight
Marie Dressler,Marie Dressler,White,Straight
Marion Cotillard,Marion Cotillard,White,Straight
Marisa Tomei,Marisa Tomei,White,Straight
Marlee Matlin,Marlee Matlin,White,Straight
Marlon Brando,Marlon Brando,White,Bisexual
Marlon Brando,Marlon Brando,White,Bisexual
Marlon Brando,Marlon Brando,White,Bisexual
Marlon Brando,Marlon Brando,White,Bisexual
Martin Balsam,Martin Balsam,White,Straight
Martin Landau,Martin Landau,White,Straight
Martin Scorsese,Martin Scorsese,White,Straight
Mary Astor,Mary Astor,White,Straight
Mary Astor,Mary Astor,White,Straight
Mary Astor,Mary Astor,White,Straight
Mary Astor,Mary Astor,White,Straight
Mary Pickford,Mary Pickford,White,Straight
Mary Steenburgen,Mary Steenburgen,White,Straight
Matthew McConaughey,Matthew McConaughey,White,Straight
Maureen Stapleton,Maureen Stapleton,White,Straight
Maximilian Schell,Maximilian Schell,White,Straight
Mel Gibson,Mel Gibson,White,Straight
Melissa Leo,Melissa Leo,White,Straight
Melvyn Douglas,Melvyn Douglas,White,Straight
Melvyn Douglas,Melvyn Douglas,White,Straight
Melvyn Douglas,Melvyn Douglas,White,Straight
Melvyn Douglas,Melvyn Douglas,White,Straight
Mercedes McCambridge,Mercedes McCambridge,White,Straight
Mercedes Ruehl,Mercedes Ruehl,Hispanic,Straight
Meryl Streep,Meryl Streep,White,Straight
Meryl Streep,Meryl Streep,White,Straight
Meryl Streep,Meryl Streep,White,Straight
Meryl Streep,Meryl Streep,White,Straight
Meryl Streep,Meryl Streep,White,Straight
Meryl Streep,Meryl Streep,White,Straight
Meryl Streep,Meryl Streep,White,Straight
Meryl Streep,Meryl Streep,White,Straight
Meryl Streep,Meryl Streep,White,Straight
Michael Caine,Michael Caine,White,Straight
Michael Caine,Michael Caine,White,Straight
Michael Caine,Michael Caine,White,Straight
Michael Caine,Michael Caine,White,Straight
Michael Cimino,Michael Cimino,White,Straight
Michael Cimino,Michael Cimino,White,Straight
Michael Cimino,Michael Cimino,White,Straight
Michael Cimino,Michael Cimino,White,Straight
Michael Curtiz,Michael Curtiz,White,Straight
Michael Douglas,Michael Douglas,White,Straight
Michel Hazanavicius,Michel Hazanavicius,White,Straight
Mike Nichols,Mike Nichols,White,Straight
Milos Forman,Milos Forman,White,Straight
Milos Forman,Milos Forman,White,Straight
Milos Forman,Milos Forman,White,Straight
Milos Forman,Milos Forman,White,Straight
Mira Sorvino,Mira Sorvino,White,Straight
Miyoshi Umeki,Miyoshi Umeki,Asian,Straight
Mo'Nique,Mo'Nique,Black,Straight
Mo'Nique,Mo'Nique,Black,Straight
Mo'Nique,Mo'Nique,Black,Straight
Mo'Nique,Mo'Nique,Black,Straight
Morgan Freeman,Morgan Freeman,Black,Straight
Natalie Portman,Natalie Portman,White,Straight
Nicolas Cage,Nicolas Cage,White,Straight
Nicole Kidman,Nicole Kidman,White,Straight
Norma Shearer,Norma Shearer,White,Straight
Norman Taurog,Norman Taurog,White,Straight
Oliver Stone,Oliver Stone,White,Straight
Oliver Stone,Oliver Stone,White,Straight
Oliver Stone,Oliver Stone,White,Straight
Oliver Stone,Oliver Stone,White,Straight
Olivia de Havilland,Olivia de Havilland,White,Straight
Olivia de Havilland,Olivia de Havilland,White,Straight
Olivia de Havilland,Olivia de Havilland,White,Straight
Olivia de Havilland,Olivia de Havilland,White,Straight
Olympia Dukakis,Olympia Dukakis,White,Straight
Patricia Neal,Patricia Neal,White,Straight
Patty Duke,Patty Duke,White,Straight
Paul Lukas,Paul Lukas,White,Straight
Paul Muni,Paul Muni,White,Straight
Paul Newman,Paul Newman,White,Straight
Paul Scofield,Paul Scofield,White,Straight
Peggy Ashcroft,Peggy Ashcroft,White,Straight
Penelope Cruz,Penelope Cruz,Hispanic,Straight
Peter Finch,Peter Finch,White,Straight
Peter Jackson,Peter Jackson,White,Straight
Peter Ustinov,Peter Ustinov,White,Straight
Peter Ustinov,Peter Ustinov,White,Straight
Peter Ustinov,Peter Ustinov,White,Straight
Peter Ustinov,Peter Ustinov,White,Straight
Philip Seymour Hoffman,Philip Seymour Hoffman,White,Straight
Rachel Weisz,Rachel Weisz,White,Straight
Rachel Weisz,Rachel Weisz,White,Straight
Rachel Weisz,Rachel Weisz,White,Straight
Rachel Weisz,Rachel Weisz,White,Straight
Ray Milland,Ray Milland,White,Straight
Red Buttons,Red Buttons,White,Straight
Reese Witherspoon,Reese Witherspoon,White,Straight
Ren̩e Zellweger,Ren̩e Zellweger,White,Straight
Rex Harrison,Rex Harrison,White,Straight
Richard Attenborough,Richard Attenborough,White,Straight
Richard Dreyfuss,Richard Dreyfuss,White,Straight
Rita Moreno,Rita Moreno,Hispanic,Straight
Robert Benton,Robert Benton,White,Straight
Robert De Niro,Robert De Niro,White,Straight
Robert De Niro,Robert De Niro,White,Straight
Robert De Niro,Robert De Niro,White,Straight
Robert De Niro,Robert De Niro,White,Straight
Robert Donat,Robert Donat,White,Straight
Robert Duvall,Robert Duvall,White,Straight
Robert Redford,Robert Redford,White,Straight
Robert Wise,Robert Wise,White,Straight
Robert Wise,Robert Wise,White,Straight
Robert Wise,Robert Wise,White,Straight
Robert Wise,Robert Wise,White,Straight
Robert Zemeckis,Robert Zemeckis,White,Straight
Roberto Benigni,Roberto Benigni,White,Straight
Robin Williams,Robin Williams,White,Straight
Rod Steiger,Rod Steiger,White,Straight
Roman Polanski,Roman Polanski,White,Straight
Ron Howard,Ron Howard,White,Straight
Ronald Colman,Ronald Colman,White,Straight
Russell Crowe,Russell Crowe,White,Straight
Ruth Gordon,Ruth Gordon,White,Straight
Sally Field,Sally Field,White,Straight
Sally Field,Sally Field,White,Straight
Sally Field,Sally Field,White,Straight
Sally Field,Sally Field,White,Straight
Sam Mendes,Sam Mendes,White,Straight
