Source,Target,Weight
Nicole Kidman,Dev Patel,1
Vanessa Redgrave,Jason Robards,1
Vanessa Redgrave,James Ivory,1
Vanessa Redgrave,Emma Thompson,1
Jason Robards,Jane Alexander,1
Jason Robards,Alan J. Pakula,1
Jason Robards,Mary Steenburgen,1
Jack Nicholson,Faye Dunaway,1
Jack Nicholson,Karen Black,1
Jack Nicholson,Randy Quaid,1
Jack Nicholson,Roman Polanski,1
Jack Nicholson,Brad Dourif,1
Jack Nicholson,Louise Fletcher,1
Jack Nicholson,Milos Forman,1
Jack Nicholson,Diane Keaton,1
Jack Nicholson,John Lithgow,1
Jack Nicholson,Debra Winger,1
Jack Nicholson,James L. Brooks,1
Jack Nicholson,William Hickey,1
Jack Nicholson,Anjelica Huston,1
Jack Nicholson,Meryl Streep,1
Jack Nicholson,Greg Kinnear,1
Jack Nicholson,Helen Hunt,1
Jack Nicholson,Kathy Bates,1
William Hickey,Anjelica Huston,1
Anjelica Huston,Lena Olin,1
Anjelica Huston,Annette Bening,1
Anjelica Huston,Stephen Frears,1
Broderick Crawford,Robert Rossen,1
Robert Rossen,John Ireland,1
Robert Rossen,Paul Newman,1
Robert Rossen,Jackie Gleason,1
Robert Rossen,Piper Laurie,1
Arthur Kennedy,Russ Tamblyn,1
Arthur Kennedy,Lana Turner,1
Arthur Kennedy,Hope Lange,1
Arthur Kennedy,Diane Varsi,1
Arthur Kennedy,Mark Robson,1
Arthur Kennedy,Martha Hyer,1
Anthony Quinn,Anna Magnani,1
Anthony Quinn,Lila Kedrova,1
Anthony Quinn,Michael Cacoyannis,1
John Wayne,Jeff Bridges,1
John Wayne,Joel Coen and Ethan Coen,1
John Wayne,Hailee Steinfeld,1
Jeff Bridges,Ben Johnson,1
Jeff Bridges,Ellen Burstyn,1
Jeff Bridges,Cloris Leachman,1
Jeff Bridges,Peter Bogdanovich,1
Jeff Bridges,Joan Allen,1
Jeff Bridges,Maggie Gyllenhaal,1
Jeff Bridges,Joel Coen and Ethan Coen,1
Jeff Bridges,Hailee Steinfeld,1
Joel Coen and Ethan Coen,Javier Bardem,1
Joel Coen and Ethan Coen,Hailee Steinfeld,1
Russ Tamblyn,Mark Robson,1
Lana Turner,Mark Robson,1
Hope Lange,Mark Robson,1
Diane Varsi,Mark Robson,1
James Whitmore,William A. Wellman,1
Paul Newman,Sidney Lumet,1
Paul Newman,Richard Brooks,1
Paul Newman,Jackie Gleason,1
Paul Newman,Piper Laurie,1
Paul Newman,Melvyn Douglas,1
Paul Newman,Patricia Neal,1
Paul Newman,Martin Ritt,1
Paul Newman,George Kennedy,1
Paul Newman,Melinda Dillon,1
Paul Newman,Mary Elizabeth Mastrantonio,1
Jackie Gleason,Piper Laurie,1
Piper Laurie,Sissy Spacek,1
Piper Laurie,William Hurt,1
Piper Laurie,Marlee Matlin,1
Carol Reed,Ron Moody,1
Carol Reed,Jack Wild,1
Sidney Lumet,Al Pacino,1
Sidney Lumet,Chris Sarandon,1
Sidney Lumet,Faye Dunaway,1
Sidney Lumet,Peter Finch,1
Sidney Lumet,Ned Beatty,1
Sidney Lumet,Beatrice Straight,1
Faye Dunaway,Arthur Penn,1
Faye Dunaway,Gene Hackman,1
Faye Dunaway,Michael J. Pollard,1
Faye Dunaway,Estelle Parsons,1
Faye Dunaway,Roman Polanski,1
Faye Dunaway,Peter Finch,1
Faye Dunaway,Ned Beatty,1
Faye Dunaway,Beatrice Straight,1
Peter Finch,John Schlesinger,1
Peter Finch,Glenda Jackson,1
Peter Finch,Ned Beatty,1
Peter Finch,Beatrice Straight,1
Joshua Logan,Red Buttons,1
Joshua Logan,Miyoshi Umeki,1
James Caan,Robert Duvall,1
James Caan,Al Pacino,1
James Caan,Francis Ford Coppola,1
Robert Duvall,Al Pacino,1
Robert Duvall,Francis Ford Coppola,1
Robert Duvall,Francis Coppola,1
Robert Duvall,Michael O'Keefe,1
Robert Duvall,Bruce Beresford,1
Al Pacino,Francis Ford Coppola,3
Al Pacino,Robert De Niro,1
Al Pacino,Michael V. Gazzo,1
Al Pacino,Lee Strasberg,1
Al Pacino,Talia Shire,1
Al Pacino,Chris Sarandon,1
Al Pacino,Martin Brest,1
Al Pacino,Joe Pesci,1
