year_ceremony,category,name,film,winner
1935,SHORT SUBJECT (Novelty),"Pete Smith, Producer",Strikes and Spares,FALSE
1935,SOUND RECORDING,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",The Affairs of Cellini,FALSE
1935,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",Cleopatra,FALSE
1935,SOUND RECORDING,"Warner Bros.-First National Studio Sound Department, Nathan Levinson, Sound Director",Flirtation Walk,FALSE
1935,SOUND RECORDING,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director",The Gay Divorcee,FALSE
1935,SOUND RECORDING,"Universal Studio Sound Department, Theodore Soderberg, Sound Director",Imitation of Life,FALSE
1935,SOUND RECORDING,"Columbia Studio Sound Department, John Livadary, Sound Director",One Night of Love,TRUE
1935,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Viva Villa!,FALSE
1935,SOUND RECORDING,"Fox Studio Sound Department, E. H. Hansen, Sound Director",The White Parade,FALSE
1935,WRITING,Robert Riskin,It Happened One Night,TRUE
1935,WRITING,"Frances Goodrich, Albert Hackett",The Thin Man,FALSE
1935,WRITING,Ben Hecht,Viva Villa!,FALSE
1935,WRITING,Mauri Grashin,Hide-Out,FALSE
1935,WRITING,Arthur Caesar,Manhattan Melodrama,TRUE
1935,WRITING,Norman Krasna,The Richest Girl in the World,FALSE
1935,SPECIAL AWARD, Shirley Temple,,TRUE
1936,ACTOR,Clark Gable,Mutiny on the Bounty,FALSE
1936,ACTOR,Charles Laughton,Mutiny on the Bounty,FALSE
1936,ACTOR,Victor McLaglen,The Informer,TRUE
1936,ACTOR,Paul Muni,Black Fury,FALSE
1936,ACTOR,Franchot Tone,Mutiny on the Bounty,FALSE
1936,ACTRESS,Elisabeth Bergner,Escape Me Never,FALSE
1936,ACTRESS,Claudette Colbert,Private Worlds,FALSE
1936,ACTRESS,Bette Davis,Dangerous,TRUE
1936,ACTRESS,Katharine Hepburn,Alice Adams,FALSE
1936,ACTRESS,Miriam Hopkins,Becky Sharp,FALSE
1936,ACTRESS,Merle Oberon,The Dark Angel,FALSE
1936,ART DIRECTION,Richard Day,The Dark Angel,TRUE
1936,ART DIRECTION,"Hans Dreier, Roland Anderson",The Lives of a Bengal Lancer,FALSE
1936,ART DIRECTION,"Van Nest Polglase, Carroll Clark",Top Hat,FALSE
1936,ASSISTANT DIRECTOR,Joseph Newman,David Copperfield,FALSE
1936,ASSISTANT DIRECTOR,Eric Stacey,Les Miserables,FALSE
1936,ASSISTANT DIRECTOR,"Clem Beauchamp, Paul Wing",The Lives of a Bengal Lancer,TRUE
1936,ASSISTANT DIRECTOR,Sherry Shourds,A Midsummer Night's Dream,FALSE
1936,CINEMATOGRAPHY,Ray June,Barbary Coast,FALSE
1936,CINEMATOGRAPHY,Victor Milner,The Crusades,FALSE
1936,CINEMATOGRAPHY,Gregg Toland,Les Miserables,FALSE
1936,CINEMATOGRAPHY,Hal Mohr,A Midsummer Night's Dream,TRUE
1936,DANCE DIRECTION,Busby Berkeley,Gold Diggers of 1935,FALSE
1936,DANCE DIRECTION,Bobby Connolly,Go into Your Dance;,FALSE
1936,DANCE DIRECTION,Dave Gould,Broadway Melody of 1936;,TRUE
1936,DANCE DIRECTION,Sammy Lee,King of Burlesque,FALSE
1936,DANCE DIRECTION,Hermes Pan,Top Hat,FALSE
1936,DANCE DIRECTION,LeRoy Prinz,Big Broadcast of 1936;,FALSE
1936,DANCE DIRECTION,Benjamin Zemach,She,FALSE
1936,DIRECTING,Michael Curtiz,Captain Blood,FALSE
1936,DIRECTING,John Ford,The Informer,TRUE
1936,DIRECTING,Henry Hathaway,The Lives of a Bengal Lancer,FALSE
1936,DIRECTING,Frank Lloyd,Mutiny on the Bounty,FALSE
1936,FILM EDITING,Robert J. Kern,David Copperfield,FALSE
1936,FILM EDITING,George Hively,The Informer,FALSE
1936,FILM EDITING,Barbara McLean,Les Miserables,FALSE
1936,FILM EDITING,Ellsworth Hoagland,The Lives of a Bengal Lancer,FALSE
1936,FILM EDITING,Ralph Dawson,A Midsummer Night's Dream,TRUE
1936,FILM EDITING,Margaret Booth,Mutiny on the Bounty,FALSE
1936,MUSIC (Scoring),"Warner Bros.-First National Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)",Captain Blood,FALSE
1936,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",The Informer,TRUE
